,artist,designer,mechanic,category,game_type,family,publisher
5843,,3,2035,"1041,1116",,"65514,5338,65389,17935","253,661,8931,20"
5844,,3,"2040,2004","1032,1041,1116",4665,"5338,65389,17935",20
5845,,1496,2035,"1116,1039",,"61748,5427,49383,17935",93
5846,,2400,2016,"1009,1050,1046",4666,"61979,60437",11
5847,"27892,16639,17972,5211,11997,20351,28041",1115,"2018,2072,2003,2016,2079,2015","1050,1015,1082,1101",5497,"72535,6471,10640,10312,62771,62772,62773","14188,597,2962"
5848,12810,1783,"2047,2011,2035,2004","1041,1094,1020,1059,1045",,,108
5849,,3,"2039,2055",1030,,,2451
5850,,3,2072,"1002,1017",,18281,"117,21"
5851,,"315,1050",,"1023,1002",,,"8,200,254"
5852,,3,"2012,2685,2035,2004,2008","1021,1026",,"62085,62234,100",28
5853,,3,"2012,2685,2035,2004,2008","1116,1021,1064,1026",,"61748,5427,100,17935",28
5854,"34585,22517","257,258","2023,2060,2004","1041,1028",4665,5615,"108,3490,34627"
5855,,3,"2072,2055","1002,1017",,"10121,43589","30336,553,4721,153"
5856,,113622,"2078,2035","1041,1064,1016",4665,5602,"439,11720"
5857,,3,2035,"1041,1064,1093",4665,"7269,5597,21157",28
5858,12593,"1736,2403",2004,"1002,1024",,"1439,28880",1009
5859,"64,20439","64,69,2404","2001,2072,2026,2016,2070","2726,1075,1019",4664,"6137,14835,23977,61979",49
5860,,2405,"2072,2026,2070","1069,1019",4664,"50153,61979,68723",424
5861,"1124,1643,811",2405,"2072,2026,2016","1109,1019",4664,"72569,10618,61979","931,424"
5862,,812,2026,"1019,1049",4664,"11006,61979,57752,12902","17180,424"
5863,"811,1678",1678,"2021,2011,2016,2070","1102,1069,1001,1086,1019",4664,"11518,34306","27853,424"
5864,,3,"2011,2016","1041,1072,1064,1016",,"7127,5602",51
5865,,3,2035,"1041,1064,1016",4665,5602,28
5866,,3,,"1038,1027",,5664,225
5867,,3,"2040,2047","1002,1079,1030",4666,"24432,24434,8120,98,17709",171
5868,,3,"2072,2035",1022,,43646,1559
5869,,"2407,2406,2408","2072,2035,2027","1002,1041,1017,1094,1031,1115,1011,1097",4665,,1560
5870,,"8083,9385,9775","2078,2035","1041,1101",4665,"7178,62355,5635","20,4539,8931,17039,4554,6290,27186"
5871,"40619,71",1310,"2689,2072,2676,2026,2070,2020","2650,1019,1065",4664,6207,"489,1391,2176"
5872,,3,"2023,2007,2078,2020,2019","1032,1041,1072,1079,1030,1037",4665,,"51,20"
5873,,2409,"2893,3002,2072,2060,2004","1002,1028",,,1561
5874,"13264,240","2410,347","2072,2676,2026,2947,2028,2070","1022,1016,1113","4664,5496",5666,"192,10080"
5875,,3,2026,"1051,1019",,50153,117
5876,"2092,12017,16452,11989",2411,"2040,2078","1022,1023,1002,1020,1031",5499,"3400,21940","531,17,3395"
5877,,2412,"2046,2070","1050,1019",4664,"5606,18645,64960,50153,58383,21990,58534,58955",17925
5878,,118,"2072,2028","1017,1010,1046,1047,1019",4664,7307,13
5879,,4608,"2046,2072,2070","1102,1035,1019",4664,"64960,10634,58059,10794","1392,1563"
5880,,2413,"2023,2078","1022,1041,1094",,,1564
5881,,"2414,136,2415",,1002,,"61748,5427,61979",11
5882,,3,2980,1002,"5498,5499","131,8120,98,70360","171,1565,800"
5883,7763,"4622,7763","2047,2004","1118,1045",5498,61979,"3738,9171,1566"
5884,"61,12296","61,953","2001,2072,2040,2015","1032,1044,1017,1046,1016",5496,"13,157,61979",12
5885,11997,1115,"2001,2046,2072,2685,2078,2004,2008","1021,1047,1026,1019,1049",4664,"25158,56354","9074,597,1901"
5886,,839,2070,1038,,"22783,5640",435
5887,,3,"2023,2019",1002,,,1567
5888,,666,2078,1034,5497,"63526,61979",5
5889,,83,"2039,2002",1009,4666,,74
5890,,2416,"2060,2020","1030,1025",,,93
5891,,839,2001,1038,,6206,435
5892,,839,"2035,2079",1038,,5574,435
5893,,3,"2040,2078,2035","1064,1016,1081",,21936,"655,9530,28,4645"
5894,"13526,13816,3034,21932,13765,7271",2417,"2057,2072,2850,2676,2026,2975,2011,2947,2055,2685,2822,2016,2070,2944,2079,2897","1069,1019",4664,"3258,28947",16
5895,,"927,2418,411","2026,2020","2650,1069,1064,1019",4664,62247,342
5896,"3976,20471,3707,12940","3976,5572,5573","2026,2952,2948,2070,2944","1046,1047,1016,1019",4664,,1568
5897,,"927,411","2689,2850,2676,2026,2011,2055,2822,2020,2019","1064,1016,1019",4664,"5679,5666,19296,4685",342
5898,,3,"2072,2078","1041,1027",,"65632,5666",9528
5899,37980,17561,"2072,2026,2947,2855","1069,1019",4664,"27582,6471,10630,10629","116,435"
5900,,3,2011,1009,4666,,1569
5901,94,94,2035,"1089,1017",,"7178,6363","402,1022"
5902,38610,"126317,126318","2072,2676,2947,2940","1051,1019",4664,"61118,61979",1570
5903,,3,2078,1009,4666,"78573,61979",253
5904,"28043,11478,28164",11,"2072,2011,2004,2008","1050,1015,1115",5499,"3,11434",1571
5905,11478,"10867,398","2080,2002","1050,1029,1115",5499,"2,21062","6784,4883,133,1571,3218,1901"
5906,,617,2046,1009,4666,"78573,61979,130",1087
5907,,617,2072,"1009,1017,1104",4666,"62600,61979,130",1087
5908,,839,"2046,2035,2070",1038,,5551,435
5909,,1756,"2072,2015","1044,1116,1046,1064",,"6229,5427,65503,17935",93
5910,,1002,"2023,2055,2019","1030,1027",,,218
5911,,38,"2035,2017","1064,1030",,"18522,44139","404,389,311,51,335,115,1052,9244"
5912,,1060,"2047,2060","1039,1045",,28857,"3088,2157,27882,1572,99,34,3087"
5913,"27685,28586,2946,28585,45329",4026,"2007,2078,2035",1097,5499,"10643,17695","99,34"
5914,3,2422,2072,1009,4666,"22783,5607,7345,81",99
5915,,72970,"2012,2004,2008","1002,1021,1026",,,"1935,1906,1074,858,99,34"
5916,,3,2005,1021,,,74
5917,,2423,"2072,2035","1009,1017,1046,1070",4666,"78562,61979",500
5918,,3,2078,"1064,1016,1113",,"65155,5602","253,51,439"
5919,,4943,2078,"1094,1031,1097",,,1155
5920,51970,3,"2072,2949,2055,2070,2020,2944,2897","2650,1047,1069,1019",,"18190,46190,5666,8164,68723","1573,1716"
5921,,"1743,262","2072,2950,2035","1047,1016,1038","5496,5499","66140,61979,5640,6924","51,20"
5922,12895,2330,,"1002,1041",4665,,"11,1574,288,4603"
5923,,3,"2072,2035,2004","1022,1017,1072,1020,1010,1059",,"5607,73592,73718,71190",20
5924,44835,2424,"2047,2004","1045,1064,1028",5499,"78591,44139","507,562,661,20,304,486,115,288"
5925,,"2425,2426","2035,2004,2005",1021,,,95
5926,,"27822,27821","2055,2035,2019","1064,1030",,44139,20
5927,,3,"2055,2019","1064,1025",,"4711,44139",359
5928,,3,2072,"1022,1046,1059",,,1575
5929,,2427,2002,"1009,1119",4666,"78574,13301",1576
5930,,"2428,2429","2040,2004",1002,,"98,2250","2027,59"
5931,,589,2070,"2650,1021,1088,1011",5497,,5
5932,,2430,"2040,2016","1002,1008,1019,1049",4664,,"1574,1749,17414,288"
5933,,2431,2048,"1002,1010,1035",,,4
5934,,7998,"2028,2002,2015","1002,1010,1046,1035",,,1393
5935,,1557,"2676,2011,2940","1022,1064,1093,1081",,"5744,17056,5666,61977,5007",123
5936,,3,,"1064,1016",,"5607,7335,5602",28
5937,,3,,"1032,1038",,"5552,61979,5640,5586,5574",471
5938,13589,335,"2072,2850,2676,2026,2967,2947,2855,2016,2070,2974","1019,1049",4664,"56938,61979,3213,28947","181,3133"
5939,"2467,13589,20601",335,"2072,2850,2676,2026,2967,2947,2016,2070","1019,1049",4664,"53215,56938,61979,3213,13265","181,3133"
5940,,3,"2676,2026","1009,1016",4666,26432,"1577,95"
5941,,2432,,1009,4666,61979,1578
5942,59842,3,"2012,2019,2009",1002,"4666,5499",98,"171,3320,74,23005,11,24384,1020,500,22,51851"
5943,,2432,2048,1009,4666,"62600,61979","2776,1578"
5944,"67814,6076,86540,130563,59842,3461,37334,5783,53103,54116",3,"2012,2923,2019,2009",1002,5497,"24434,27471,98,70360,70948,64143,11505,66278","171,3320,5805,8,74,36865,30,6092,5215,21248,1210,23005,41019,11,19111,2830,761,23059,23169,1020,500,22,36052,22436,52676,51851,23170,468,18923,50913"
5945,,3,"2048,2035",1017,,62615,300
5946,,5111,,"1094,1030",,,1579
5947,,2433,,"1039,1030",,6485,1580
5948,,2434,"2047,2055","1045,1027",,,647
5949,37393,"125,9","2040,2047,2041,2016","1002,1010,1046,1079,1037",5499,,157
5950,,3,"2035,2004","1041,1064,1093",4665,"5597,19508",28
5951,"3439,16107",226,"2072,2026,2070","1048,1019",4664,"14835,61979,72016,23560,43655,43666,43671","3429,94"
5952,,3,2027,"1002,1039,1024",,"73596,22006,62042,60795",225
5953,,3,2072,1017,,,1581
5954,,3,,"1010,1093",,4263,1582
5955,"12597,89107","2201,122","3003,2060,2020","1009,1039,1028",4666,"20,6485",76
5956,,287,,"1041,1010,1093",4665,"4263,7005",1583
5957,,2234,"2072,2026,2975,2070","1010,1093,1019",4664,"4263,61979,69366",1423
5958,,2435,,1010,,4263,1584
5959,690,"2436,1901","2072,2850,2949,2685,2035,2015","1010,1047,1093,1019",4664,"4263,5615",1157
5960,675,2437,"2072,2026,2070","1010,1093,1019",4664,"4263,9828,69366","25,1305"
5961,,3,2016,"1039,1072,1008",,"7127,61979","4539,8931,4554,20"
5962,,3,2016,"1039,1072,1008",,"7127,61979","51,20"
5963,,3,2035,"1028,1025",,,"847,48734,268"
5964,,3,2015,"1022,1041,1064,1081",4665,21936,"655,9530,28,11720,4645"
5965,,13951,2019,1027,,,1267
5966,,262,"2018,2035,2015","1002,1046,1047,1064,1016",,"22232,5619,9798",51
